id,company_id/id,code,name,type,user_type/id,parent_id/id,currency_id/id
__account__.account_account_H552,helom.base_company,438200,Charges Sociales sur CP,Regular,l10n_fr.account_type_dettes,__account__.account_account_H551,
__account__.account_account_H553,helom.base_company,438600,ORG SOCIAUX AUTRES CHARGES A PAYER,Regular,l10n_fr.account_type_dettes,__account__.account_account_H551,
__account__.account_account_H554,helom.base_company,438700,Produits à recevoir,Regular,l10n_fr.account_type_receivable,__account__.account_account_H551,
__account__.account_account_H555,helom.base_company,44,Etat et autres collectivités publiques,View,l10n_fr.account_type_view,__account__.account_account_H375,
__account__.account_account_H556,helom.base_company,441000,État - Subventions à recevoir,View,l10n_fr.account_type_view,__account__.account_account_H555,
__account__.account_account_H557,helom.base_company,441100,Subventions d'investissement,Regular,l10n_fr.account_type_receivable,__account__.account_account_H556,
__account__.account_account_H558,helom.base_company,441700,Subventions d'exploitation,Regular,l10n_fr.account_type_receivable,__account__.account_account_H556,
__account__.account_account_H559,helom.base_company,441800,Subventions d'équilibre,Regular,l10n_fr.account_type_receivable,__account__.account_account_H556,
__account__.account_account_H560,helom.base_company,441900,Avances sur subventions,Regular,l10n_fr.account_type_receivable,__account__.account_account_H556,
__account__.account_account_H561,helom.base_company,442000,État -Impôts et taxes recouvrables sur des tiers,View,l10n_fr.account_type_view,__account__.account_account_H555,
__account__.account_account_H562,helom.base_company,442400,Obligataires,Regular,l10n_fr.account_type_tax,__account__.account_account_H561,
__account__.account_account_H563,helom.base_company,442500,Associés,Regular,l10n_fr.account_type_tax,__account__.account_account_H561,
__account__.account_account_H564,helom.base_company,443000,"Opérations particulières avec l'État, les collectivités publiques, les organismes internationaux",View,l10n_fr.account_type_view,__account__.account_account_H555,
__account__.account_account_H565,helom.base_company,443100,Créances sur l'État résultant de la suppression de la règle du décalage d'un mois en matière de TVA,Regular,l10n_fr.account_type_receivable,__account__.account_account_H564,
__account__.account_account_H566,helom.base_company,443800,Intérêts courus sur créances figurant au compte 4431,Regular,l10n_fr.account_type_tax,__account__.account_account_H564,
__account__.account_account_H567,helom.base_company,444000,État - Impôts sur les bénéfices,Regular,l10n_fr.account_type_tax,__account__.account_account_H555,
__account__.account_account_H1416,helom.base_company,444500,État - CARRY BACK,Regular,l10n_fr.account_type_tax,__account__.account_account_H555,
__account__.account_account_H1352,helom.base_company,445000,État - Taxes sur le chiffre d'affaires,View,l10n_fr.account_type_view,__account__.account_account_H555,
__account__.account_account_H573,helom.base_company,445500,Taxes sur le chiffre d'affaires à décaisser,View,l10n_fr.account_type_view,__account__.account_account_H1352,
__account__.account_account_H574,helom.base_company,445510,TVA à décaisser,Regular,l10n_fr.account_type_payable,__account__.account_account_H573,
__account__.account_account_H575,helom.base_company,445580,Taxes assimilées à la TVA,Regular,l10n_fr.account_type_tax,__account__.account_account_H573,
__account__.account_account_H576,helom.base_company,4456,Taxes sur le chiffre d'affaires déductibles,View,l10n_fr.account_type_view,__account__.account_account_H1352,
